28.05.2015 08:12:52.15264 (0.5580855)Log "Roblox"
08:13:07.30264 (14.7638303)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_R5G6B5 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
08:13:07.30264 (14.7638303)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A1R5G5B5 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
08:13:07.30264 (14.7648307)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_X1R5G5B5 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
08:13:07.30264 (14.7648307)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_R5G6B5 BackBufferFormat: D3DFMT_A8R8G8B8 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
08:13:07.30264 (14.7658310)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_R5G6B5 BackBufferFormat: D3DFMT_X8R8G8B8 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
08:13:07.30264 (14.7658310)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_R5G6B5 BackBufferFormat: D3DFMT_A2R10G10B10 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
